threshold		recall		stdRecall		accuracy		stdAccuracy		numberOfProposals		stdNumberOfProposals
0.05		0.97		0.13		0.59		0.45		491		210
0.1		0.96		0.13		0.58		0.45		390		190
0.15		0.96		0.13		0.58		0.45		331		175
0.2		0.96		0.13		0.56		0.45		289		162
0.25		0.96		0.15		0.55		0.45		254		150
0.3		0.95		0.15		0.54		0.45		226		139
0.35		0.95		0.16		0.53		0.45		199		128
0.4		0.95		0.16		0.52		0.45		174		115
0.45		0.94		0.17		0.50		0.45		148		99
0.5		0.94		0.18		0.47		0.45		111		72
0.55		0.92		0.20		0.41		0.44		65		42
0.6		0.83		0.32		0.29		0.40		30		21
0.65		0.67		0.41		0.14		0.30		11		9
0.7		0.50		0.45		0.07		0.22		4		4
0.75		0.35		0.44		0.03		0.15		1		1
0.8		0.23		0.39		0.02		0.13		0		0
0.85		0.12		0.32		0.01		0.05		0		0
0.9		0.05		0.21		0.00		0.03		0		0
0.95		0.02		0.12		0.00		0.00		0		0
