normFrame	iou
0.0000	0.9403
0.0185	0.7975
0.0370	0.9025
0.0556	0.8143
0.0741	0.8143
0.0926	0.9025
0.1111	0.8144
0.1296	0.9025
0.1481	0.9025
0.1667	0.8486
0.1852	0.7828
0.2037	0.7828
0.2222	0.8911
0.2407	0.7494
0.2593	0.8535
0.2778	0.7174
0.2963	0.8721
0.3148	0.8174
0.3333	0.8174
0.3519	0.8911
0.3704	0.8911
0.3889	0.7659
0.4074	0.8721
0.4259	0.8721
0.4444	0.8911
0.4630	0.7659
0.4815	0.7659
0.5000	0.8911
0.5185	0.7494
0.5370	0.8535
0.5556	0.8535
0.5741	0.7174
0.5926	0.7174
0.6111	0.8721
0.6296	0.8721
0.6481	0.7332
0.6667	0.7999
0.6852	0.7999
0.7037	0.6715
0.7222	0.8721
0.7407	0.8721
0.7593	0.8205
0.7778	0.7999
0.7963	0.7999
0.8148	0.7526
0.8333	0.8383
0.8519	0.8383
0.8704	0.7858
0.8889	0.7858
0.9074	0.7858
0.9259	0.7858
0.9444	0.7858
0.9630	0.8556
0.9815	0.8556
