samplesPerClass	meanAcc	stdAcc	minAcc	maxAcc
1		45.87	7.87	30.20	65.99
2		54.43	8.35	29.44	73.60
3		62.99	6.93	43.65	78.17
4		66.75	6.80	47.21	81.22
5		67.34	6.94	44.16	80.71
6		73.85	5.19	58.63	86.29
7		74.46	4.99	58.12	84.26
8		75.92	5.58	56.60	86.29
9		75.99	5.52	58.12	86.29
10		74.40	6.11	45.69	85.03
11		77.99	4.50	56.09	87.56
12		75.41	4.90	14.47	71.32
13		73.99	6.85	47.46	86.80
14		81.88	4.40	61.17	88.58
15		83.52	4.00	68.53	90.10
16		84.76	3.42	70.56	91.12
17		84.56	3.19	73.86	91.12
18		85.43	3.36	71.83	91.37
19		86.10	3.89	62.44	91.62
20		87.57	3.06	69.54	92.64
25		86.08	4.01	64.72	93.40
30		89.91	2.34	83.76	94.67
35		90.05	2.01	37.82	86.29
40		92.42	1.84	85.28	96.19
45		93.23	1.52	88.83	96.45
50		93.20	1.42	87.82	95.69
60		94.39	1.74	85.28	97.21
70		94.44	1.30	76.90	96.45
80		95.93	0.96	93.15	97.72
90		96.31	1.01	93.65	98.48
100		96.34	1.28	89.09	97.97
110		96.53	0.72	94.42	98.22
120		96.64	0.71	94.42	97.97
130		96.85	0.93	92.39	98.22
140		96.43	1.97	80.46	97.97
150		97.44	0.63	94.92	98.73
