samplesPerClass	meanAUC	stdAUC	minAUC	maxAUC	meanMSE	stdMSE	minMSE	maxMSE	meanR2	stdR2	minR2	maxR2
1		0.574	0.086	0.361	0.783	0.1584	0.0579	0.1048	0.2970	-0.6758	0.6127	-2.1430	-0.1088
50		0.741	0.131	0.333	0.907	0.1327	0.0150	0.1046	0.1755	-0.4042	0.1582	-0.8567	-0.1074
100		0.870	0.029	0.782	0.934	0.1493	0.0201	0.0974	0.1980	-0.5804	0.2129	-1.0950	-0.0309
150		0.857	0.038	0.731	0.921	0.1193	0.0197	0.0849	0.1752	-0.2623	0.2088	-0.8537	0.1021
200		0.863	0.037	0.759	0.951	0.1222	0.0293	0.0633	0.2173	-0.2931	0.3106	-1.2996	0.3307
300		0.878	0.032	0.768	0.932	0.1023	0.0289	0.0544	0.1772	-0.0825	0.3060	-0.8751	0.4245
400		0.907	0.023	0.807	0.944	0.0982	0.0358	0.0432	0.2438	-0.0396	0.3793	-1.5794	0.5434
500		0.915	0.013	0.868	0.944	0.0958	0.0262	0.0529	0.1596	-0.0133	0.2769	-0.6888	0.4402
600		0.924	0.009	0.906	0.947	0.0920	0.0291	0.0413	0.1836	0.0262	0.3078	-0.9425	0.5631
700		0.931	0.011	0.912	0.965	0.0903	0.0259	0.0466	0.1532	0.0448	0.2742	-0.6212	0.5065
800		0.934	0.011	0.913	0.965	0.0948	0.0284	0.0494	0.1809	-0.0027	0.3010	-0.9139	0.4773
900		0.933	0.012	0.904	0.960	0.0891	0.0379	0.0423	0.2513	0.0569	0.4010	-1.6595	0.5522
1000		0.937	0.012	0.916	0.964	0.0957	0.0270	0.0501	0.1609	-0.0122	0.2855	-0.7026	0.4698
2000		0.963	0.010	0.936	0.976	0.0907	0.0265	0.0453	0.1867	0.0401	0.2803	-0.9757	0.5205
3000		0.972	0.005	0.955	0.978	0.0882	0.0202	0.0515	0.1799	0.0669	0.2139	-0.9041	0.4548
4000		0.976	0.002	0.961	0.978	0.0872	0.0140	0.0531	0.1193	0.0771	0.1477	-0.2620	0.4379
5000		0.977	0.001	0.972	0.980	0.0911	0.0177	0.0594	0.1440	0.0363	0.1872	-0.5239	0.3709
6000		0.978	0.001	0.971	0.980	0.0895	0.0135	0.0625	0.1220	0.0530	0.1430	-0.2906	0.3386
7000		0.979	0.001	0.974	0.981	0.0926	0.0132	0.0630	0.1266	0.0205	0.1402	-0.3394	0.3338
8000		0.979	0.001	0.972	0.982	0.0890	0.0097	0.0638	0.1172	0.0584	0.1027	-0.2403	0.3251
9000		0.979	0.001	0.976	0.982	0.0908	0.0113	0.0632	0.1339	0.0391	0.1194	-0.4164	0.3312
10000		0.980	0.002	0.967	0.984	0.0941	0.0157	0.0593	0.1597	0.0042	0.1663	-0.6901	0.3727
