threshold		meanRecall		stdRecall		meanNumProposals		stdNumProposals		aBO		stdBO
0.05		94.44		17.11		32		11		0.70		0.12
0.1		93.74		18.45		20		8		0.69		0.12
0.15		93.01		19.40		15		6		0.68		0.13
0.2		92.41		20.21		13		5		0.68		0.13
0.25		92.11		20.47		11		4		0.67		0.14
0.3		91.61		20.85		10		4		0.67		0.14
0.35		91.29		21.12		9		3		0.66		0.14
0.4		90.33		22.41		7		3		0.65		0.15
0.45		89.36		23.28		7		3		0.65		0.15
0.5		88.48		24.20		6		2		0.64		0.16
0.55		87.47		25.54		5		2		0.63		0.18
0.6		85.76		27.89		3		2		0.60		0.25
0.65		81.23		32.79		2		1		0.55		0.34
0.7		69.95		40.82		1		1		0.38		0.55
0.75		48.33		44.53		0		0		0.05		0.73
0.8		27.46		38.57		0		0		-0.38		0.76
0.85		6.93		20.80		0		0		-0.82		0.49
0.9		0.00		0.00		0		0		-1.00		0.00
0.95		0.00		0.00		0		0		-1.00		0.00
