k		meanRecall		stdRecall		aBO		stdBO
1		3.47		18.31		0.11		0.17
2		6.82		25.21		0.14		0.19
3		8.49		27.88		0.16		0.20
4		9.78		29.71		0.18		0.21
5		11.05		31.25		0.20		0.22
6		11.60		31.89		0.21		0.22
7		12.25		32.65		0.22		0.23
8		12.31		32.67		0.23		0.23
9		12.68		33.00		0.25		0.23
10		13.60		33.92		0.25		0.23
15		17.31		36.27		0.31		0.25
20		21.24		38.43		0.35		0.25
25		25.85		40.39		0.39		0.25
30		30.63		41.87		0.43		0.24
35		35.93		43.32		0.46		0.24
40		39.62		43.83		0.48		0.23
45		42.62		44.05		0.50		0.23
50		45.86		44.23		0.51		0.23
60		51.27		43.56		0.54		0.22
70		56.28		41.92		0.56		0.21
80		60.38		40.52		0.58		0.21
90		64.18		39.56		0.60		0.20
100		67.31		38.47		0.61		0.20
