tspc	numParams	meanAcc	stdAcc	minAcc	maxAcc	meanTime	stdTime
1	101376	45.67	5.99	31.14	60.00	0.66	0.07
2	202752	56.49	3.86	46.58	64.30	1.28	0.03
3	304128	61.67	4.21	48.86	71.65	1.91	0.06
4	405504	66.56	3.72	55.44	74.43	2.53	0.05
5	506880	68.90	3.01	60.51	75.19	3.16	0.06
6	608256	71.98	2.70	65.57	77.22	3.78	0.07
7	709632	73.02	2.75	64.30	78.48	4.41	0.08
8	811008	74.99	2.65	67.59	80.00	5.04	0.08
9	912384	76.12	2.31	70.63	82.28	5.65	0.09
10	1013760	77.17	2.35	71.65	83.04	6.29	0.09
15	1520640	81.46	2.07	75.70	86.58	9.42	0.13
20	2027520	84.21	1.65	80.51	87.85	12.58	0.15
25	2534400	85.52	1.59	81.01	89.11	15.72	0.21
30	3041280	86.32	1.52	80.76	89.62	18.86	0.21
35	3548160	87.58	1.28	83.80	90.13	21.95	0.22
40	4055040	88.49	1.00	86.08	91.14	25.22	0.67
45	4561920	88.90	1.08	85.32	91.39	28.25	0.26
50	5068800	89.67	1.09	87.09	91.90	31.40	0.29
60	6082560	90.39	1.08	87.34	92.41	37.60	0.33
70	7096320	90.96	0.81	89.37	93.16	43.86	0.36
80	8110080	91.52	0.70	89.62	93.42	50.13	0.39
90	9123840	91.99	0.67	90.38	93.42	56.47	0.41
100	10137600	92.10	0.65	90.13	93.42	62.69	0.45
110	11151360	92.42	0.67	89.87	93.42	68.91	0.49
120	12165120	92.62	0.54	91.14	94.18	75.14	0.52
130	13178880	92.78	0.56	91.39	94.18	81.33	0.55
140	14192640	92.91	0.46	91.90	93.92	87.65	0.60
150	15206400	92.97	0.47	91.65	94.18	93.85	0.65
